Q1,Q2,Q3,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q6,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q13
Academic Researcher,10 or more,Yes,As a replication package,As tools or code to accompany a paper,,,,,,"Yes, an artifact was shared with all of them",Yes. I experienced these challenges:,Yes,To obtain supplementary information for a research paper.,,,,,Other:,,,A lack of clear instructions for building the artifact.,,"I couldn't build the artifact due to an unavailable piece of software, library, or compiler.",,,,,,No
Academic Researcher,10 or more,Yes,,,,"To provide extra data that doesn't fit in the paper (e.g., survey results)",To provide additional information to the reviewer(s),,,"No, no artifacts were shared with my most recently published papers",Yes. I experienced these challenges:,"No, because I have not had the opportunity to submit to an artifact evaluation committee.",To obtain supplementary information for a research paper.,To obtain the necessary tools and/or data to replicate the findings of a research paper.,To obtain benchmark data or results to compare against.,,,,,A lack of clear instructions for using the artifact.,,The artifact was no longer accessible.,,,,,,,No
Academic Researcher,10 or more,Yes,As a replication package,As tools or code to accompany a paper,,,,,,"Yes, an artifact was shared with some of them",No,Yes,To obtain supplementary information for a research paper.,To obtain the necessary tools and/or data to replicate the findings of a research paper.,To obtain benchmark data or results to compare against.,,,,,A lack of clear instructions for using the artifact.,A lack of clear instructions for building the artifact.,The artifact was no longer accessible.,"I couldn't build the artifact due to an unavailable piece of software, library, or compiler.","I couldn't run the artifact due to a missing package, library, tool, or piece of software.",I encountered a run-time error when using the artifact.,I had to modify the source code of the artifact.,I had to re-implement the artifact.,,No
Academic Researcher,4 to 6,Yes,As a replication package,,,"To provide extra data that doesn't fit in the paper (e.g., survey results)",To provide additional information to the reviewer(s),"A supervisor, collaborator, or advisor insisted on it",,"Yes, an artifact was shared with some of them",Yes. I experienced these challenges:,"No, because I have not had the opportunity to submit to an artifact evaluation committee.",To obtain supplementary information for a research paper.,,,,,,,A lack of clear instructions for using the artifact.,,The artifact was no longer accessible.,,,,,,,No
Academic Researcher,10 or more,Yes,As a replication package,,,,,,,"Yes, an artifact was shared with some of them",Yes. I experienced these challenges:,"No, because I have not had the opportunity to submit to an artifact evaluation committee.",To obtain supplementary information for a research paper.,,To obtain benchmark data or results to compare against.,,,,,A lack of clear instructions for using the artifact.,A lack of clear instructions for building the artifact.,The artifact was no longer accessible.,,"I couldn't run the artifact due to a missing package, library, tool, or piece of software.",,,,,No
Academic Researcher,1 to 3,Yes,As a replication package,As tools or code to accompany a paper,,,,,,"Yes, an artifact was shared with all of them",Yes. I experienced these challenges:,Yes,,To obtain the necessary tools and/or data to replicate the findings of a research paper.,To obtain benchmark data or results to compare against.,,,,,A lack of clear instructions for using the artifact.,,,,,,I had to modify the source code of the artifact.,,,Yes
Academic Researcher,10 or more,Yes,As a replication package,As tools or code to accompany a paper,To provide a companion site,"To provide extra data that doesn't fit in the paper (e.g., survey results)",,,,"Yes, an artifact was shared with some of them",Yes. I experienced these challenges:,I chose not to submit to an artifact evaluation committee because:,To obtain supplementary information for a research paper.,To obtain the necessary tools and/or data to replicate the findings of a research paper.,To obtain benchmark data or results to compare against.,For teaching purposes.,,,,A lack of clear instructions for using the artifact.,,The artifact was no longer accessible.,"I couldn't build the artifact due to an unavailable piece of software, library, or compiler.","I couldn't run the artifact due to a missing package, library, tool, or piece of software.",I encountered a run-time error when using the artifact.,I had to modify the source code of the artifact.,I had to re-implement the artifact.,Other,No
Academic Researcher,10 or more,Yes,,As tools or code to accompany a paper,To provide a companion site,"To provide extra data that doesn't fit in the paper (e.g., survey results)",,,,"Yes, an artifact was shared with some of them",Yes. I experienced these challenges:,Yes,,To obtain the necessary tools and/or data to replicate the findings of a research paper.,To obtain benchmark data or results to compare against.,,,,,A lack of clear instructions for using the artifact.,A lack of clear instructions for building the artifact.,,"I couldn't build the artifact due to an unavailable piece of software, library, or compiler.","I couldn't run the artifact due to a missing package, library, tool, or piece of software.",,I had to modify the source code of the artifact.,,,No
Academic Researcher,10 or more,Yes,,,To provide a companion site,,,,,"Yes, an artifact was shared with some of them",No,I chose not to submit to an artifact evaluation committee because:,To obtain supplementary information for a research paper.,To obtain the necessary tools and/or data to replicate the findings of a research paper.,To obtain benchmark data or results to compare against.,For teaching purposes.,,,,A lack of clear instructions for using the artifact.,A lack of clear instructions for building the artifact.,The artifact was no longer accessible.,"I couldn't build the artifact due to an unavailable piece of software, library, or compiler.","I couldn't run the artifact due to a missing package, library, tool, or piece of software.",I encountered a run-time error when using the artifact.,,,,Yes
Academic Researcher,10 or more,Yes,As a replication package,,,"To provide extra data that doesn't fit in the paper (e.g., survey results)",,,,"Yes, an artifact was shared with all of them",Yes. I experienced these challenges:,Yes,To obtain supplementary information for a research paper.,,,For teaching purposes.,,,,,,The artifact was no longer accessible.,"I couldn't build the artifact due to an unavailable piece of software, library, or compiler.",,,,,,No
Academic Researcher,10 or more,Yes,As a replication package,As tools or code to accompany a paper,,,,,Other,"Yes, an artifact was shared with some of them",Yes. I experienced these challenges:,"No, because I have not had the opportunity to submit to an artifact evaluation committee.",To obtain supplementary information for a research paper.,,To obtain benchmark data or results to compare against.,,,,,,A lack of clear instructions for building the artifact.,The artifact was no longer accessible.,"I couldn't build the artifact due to an unavailable piece of software, library, or compiler.","I couldn't run the artifact due to a missing package, library, tool, or piece of software.",,I had to modify the source code of the artifact.,,,No
Academic Researcher,10 or more,Yes,As a replication package,,,"To provide extra data that doesn't fit in the paper (e.g., survey results)",,,,"Yes, an artifact was shared with all of them",No,"No, because I have not had the opportunity to submit to an artifact evaluation committee.",,To obtain the necessary tools and/or data to replicate the findings of a research paper.,,,,,,A lack of clear instructions for using the artifact.,A lack of clear instructions for building the artifact.,,"I couldn't build the artifact due to an unavailable piece of software, library, or compiler.","I couldn't run the artifact due to a missing package, library, tool, or piece of software.",,I had to modify the source code of the artifact.,,,No
Academic Researcher,10 or more,Yes,As a replication package,,To provide a companion site,"To provide extra data that doesn't fit in the paper (e.g., survey results)",To provide additional information to the reviewer(s),"A supervisor, collaborator, or advisor insisted on it",,"Yes, an artifact was shared with all of them",No,"No, because I have not had the opportunity to submit to an artifact evaluation committee.",To obtain supplementary information for a research paper.,To obtain the necessary tools and/or data to replicate the findings of a research paper.,To obtain benchmark data or results to compare against.,,,,,A lack of clear instructions for using the artifact.,A lack of clear instructions for building the artifact.,The artifact was no longer accessible.,"I couldn't build the artifact due to an unavailable piece of software, library, or compiler.",,,,,,No
Academic Researcher,10 or more,Yes,As a replication package,As tools or code to accompany a paper,To provide a companion site,,,,,"Yes, an artifact was shared with all of them",No,Yes,To obtain supplementary information for a research paper.,,To obtain benchmark data or results to compare against.,,,,,A lack of clear instructions for using the artifact.,A lack of clear instructions for building the artifact.,The artifact was no longer accessible.,"I couldn't build the artifact due to an unavailable piece of software, library, or compiler.","I couldn't run the artifact due to a missing package, library, tool, or piece of software.",I encountered a run-time error when using the artifact.,,I had to re-implement the artifact.,,No
Academic Researcher,10 or more,Yes,As a replication package,As tools or code to accompany a paper,,,,,,"Yes, an artifact was shared with some of them",No,Yes,,,To obtain benchmark data or results to compare against.,,,,,A lack of clear instructions for using the artifact.,A lack of clear instructions for building the artifact.,The artifact was no longer accessible.,"I couldn't build the artifact due to an unavailable piece of software, library, or compiler.","I couldn't run the artifact due to a missing package, library, tool, or piece of software.",I encountered a run-time error when using the artifact.,I had to modify the source code of the artifact.,I had to re-implement the artifact.,,No
Academic Researcher,10 or more,Yes,As a replication package,As tools or code to accompany a paper,To provide a companion site,"To provide extra data that doesn't fit in the paper (e.g., survey results)",,,,"Yes, an artifact was shared with all of them",No,Yes,To obtain supplementary information for a research paper.,,,For teaching purposes.,,,,A lack of clear instructions for using the artifact.,A lack of clear instructions for building the artifact.,The artifact was no longer accessible.,"I couldn't build the artifact due to an unavailable piece of software, library, or compiler.","I couldn't run the artifact due to a missing package, library, tool, or piece of software.",I encountered a run-time error when using the artifact.,,,,Yes
Academic Researcher,10 or more,Yes,,As tools or code to accompany a paper,To provide a companion site,"To provide extra data that doesn't fit in the paper (e.g., survey results)",To provide additional information to the reviewer(s),,,"Yes, an artifact was shared with some of them",No,"No, because I have not had the opportunity to submit to an artifact evaluation committee.",To obtain supplementary information for a research paper.,,To obtain benchmark data or results to compare against.,For teaching purposes.,,,,,,,,,,,,Other,No
Academic Researcher,4 to 6,Yes,As a replication package,As tools or code to accompany a paper,,,To provide additional information to the reviewer(s),,,"Yes, an artifact was shared with all of them",No,Yes,,To obtain the necessary tools and/or data to replicate the findings of a research paper.,To obtain benchmark data or results to compare against.,,,,,A lack of clear instructions for using the artifact.,A lack of clear instructions for building the artifact.,,,,I encountered a run-time error when using the artifact.,I had to modify the source code of the artifact.,,,Yes
Academic Researcher,4 to 6,Yes,As a replication package,,,,,,,"Yes, an artifact was shared with some of them",No,Yes,To obtain supplementary information for a research paper.,,To obtain benchmark data or results to compare against.,,,,,,,,,"I couldn't run the artifact due to a missing package, library, tool, or piece of software.",,,,,No
Academic Researcher,10 or more,Yes,As a replication package,As tools or code to accompany a paper,,"To provide extra data that doesn't fit in the paper (e.g., survey results)",,,,"Yes, an artifact was shared with all of them",No,Yes,,To obtain the necessary tools and/or data to replicate the findings of a research paper.,To obtain benchmark data or results to compare against.,For teaching purposes.,,,,A lack of clear instructions for using the artifact.,A lack of clear instructions for building the artifact.,,,,I encountered a run-time error when using the artifact.,I had to modify the source code of the artifact.,,,No
Industrial Researcher,10 or more,Yes,As a replication package,As tools or code to accompany a paper,To provide a companion site,,,,,"Yes, an artifact was shared with some of them",Yes. I experienced these challenges:,Yes,,To obtain the necessary tools and/or data to replicate the findings of a research paper.,To obtain benchmark data or results to compare against.,,,,,A lack of clear instructions for using the artifact.,A lack of clear instructions for building the artifact.,The artifact was no longer accessible.,"I couldn't build the artifact due to an unavailable piece of software, library, or compiler.","I couldn't run the artifact due to a missing package, library, tool, or piece of software.",,I had to modify the source code of the artifact.,I had to re-implement the artifact.,,Yes
Academic Researcher,1 to 3,Yes,As a replication package,As tools or code to accompany a paper,,"To provide extra data that doesn't fit in the paper (e.g., survey results)",,,,"Yes, an artifact was shared with all of them",No,I chose not to submit to an artifact evaluation committee because:,To obtain supplementary information for a research paper.,To obtain the necessary tools and/or data to replicate the findings of a research paper.,To obtain benchmark data or results to compare against.,,,Other:,,A lack of clear instructions for using the artifact.,A lack of clear instructions for building the artifact.,The artifact was no longer accessible.,"I couldn't build the artifact due to an unavailable piece of software, library, or compiler.",,I encountered a run-time error when using the artifact.,I had to modify the source code of the artifact.,,,No
Academic Researcher,10 or more,Yes,,As tools or code to accompany a paper,,"To provide extra data that doesn't fit in the paper (e.g., survey results)",To provide additional information to the reviewer(s),,,"Yes, an artifact was shared with all of them",No,Yes,,,To obtain benchmark data or results to compare against.,,,,,,,,"I couldn't build the artifact due to an unavailable piece of software, library, or compiler.",,,,,,Yes
Academic Researcher,4 to 6,Yes,As a replication package,As tools or code to accompany a paper,,"To provide extra data that doesn't fit in the paper (e.g., survey results)",To provide additional information to the reviewer(s),,,"Yes, an artifact was shared with some of them",No,"No, because I have not had the opportunity to submit to an artifact evaluation committee.",To obtain supplementary information for a research paper.,To obtain the necessary tools and/or data to replicate the findings of a research paper.,To obtain benchmark data or results to compare against.,For teaching purposes.,,,,A lack of clear instructions for using the artifact.,A lack of clear instructions for building the artifact.,The artifact was no longer accessible.,"I couldn't build the artifact due to an unavailable piece of software, library, or compiler.",,,I had to modify the source code of the artifact.,,,No
Academic Researcher,10 or more,Yes,As a replication package,As tools or code to accompany a paper,,,To provide additional information to the reviewer(s),,,"Yes, an artifact was shared with all of them",Yes. I experienced these challenges:,Yes,,To obtain the necessary tools and/or data to replicate the findings of a research paper.,,,,,,A lack of clear instructions for using the artifact.,,The artifact was no longer accessible.,"I couldn't build the artifact due to an unavailable piece of software, library, or compiler.","I couldn't run the artifact due to a missing package, library, tool, or piece of software.",,,,,No
Academic Researcher,7 to 9,Yes,As a replication package,As tools or code to accompany a paper,,,,,,"Yes, an artifact was shared with some of them",Yes. I experienced these challenges:,Yes,To obtain supplementary information for a research paper.,,To obtain benchmark data or results to compare against.,,,Other:,,A lack of clear instructions for using the artifact.,A lack of clear instructions for building the artifact.,The artifact was no longer accessible.,,,I encountered a run-time error when using the artifact.,,,Other,Yes
Academic Researcher,10 or more,Yes,As a replication package,As tools or code to accompany a paper,,"To provide extra data that doesn't fit in the paper (e.g., survey results)",To provide additional information to the reviewer(s),,,"Yes, an artifact was shared with all of them",Yes. I experienced these challenges:,"No, because I have not had the opportunity to submit to an artifact evaluation committee.",,To obtain the necessary tools and/or data to replicate the findings of a research paper.,To obtain benchmark data or results to compare against.,For teaching purposes.,,,,A lack of clear instructions for using the artifact.,A lack of clear instructions for building the artifact.,The artifact was no longer accessible.,"I couldn't build the artifact due to an unavailable piece of software, library, or compiler.","I couldn't run the artifact due to a missing package, library, tool, or piece of software.",I encountered a run-time error when using the artifact.,,,,No
Academic Researcher,10 or more,Yes,As a replication package,As tools or code to accompany a paper,,,To provide additional information to the reviewer(s),,,"Yes, an artifact was shared with some of them",Yes. I experienced these challenges:,I chose not to submit to an artifact evaluation committee because:,To obtain supplementary information for a research paper.,To obtain the necessary tools and/or data to replicate the findings of a research paper.,To obtain benchmark data or results to compare against.,For teaching purposes.,,,,A lack of clear instructions for using the artifact.,A lack of clear instructions for building the artifact.,The artifact was no longer accessible.,"I couldn't build the artifact due to an unavailable piece of software, library, or compiler.","I couldn't run the artifact due to a missing package, library, tool, or piece of software.",I encountered a run-time error when using the artifact.,I had to modify the source code of the artifact.,,,No
Academic Researcher,1 to 3,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Researcher,7 to 9,Yes,As a replication package,As tools or code to accompany a paper,,,,,,"Yes, an artifact was shared with some of them",No,Yes,To obtain supplementary information for a research paper.,To obtain the necessary tools and/or data to replicate the findings of a research paper.,To obtain benchmark data or results to compare against.,,,,,,,,,,I encountered a run-time error when using the artifact.,,,,No
Industrial Practitioner,1 to 3,Yes,,As tools or code to accompany a paper,,,,,Other,"Yes, an artifact was shared with all of them",No,"No, because I have not had the opportunity to submit to an artifact evaluation committee.",,To obtain the necessary tools and/or data to replicate the findings of a research paper.,To obtain benchmark data or results to compare against.,,,,,A lack of clear instructions for using the artifact.,,The artifact was no longer accessible.,,,,I had to modify the source code of the artifact.,I had to re-implement the artifact.,,No
Academic Researcher,10 or more,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Researcher,1 to 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Researcher,7 to 9,Yes,As a replication package,As tools or code to accompany a paper,,,,,,"No, no artifacts were shared with my most recently published papers",Yes. I experienced these challenges:,"No, because I have not had the opportunity to submit to an artifact evaluation committee.",To obtain supplementary information for a research paper.,To obtain the necessary tools and/or data to replicate the findings of a research paper.,To obtain benchmark data or results to compare against.,,,,,A lack of clear instructions for using the artifact.,,The artifact was no longer accessible.,,,,,I had to re-implement the artifact.,,No
Academic Researcher,1 to 3,Yes,,As tools or code to accompany a paper,,"To provide extra data that doesn't fit in the paper (e.g., survey results)",,,,"Yes, an artifact was shared with some of them",No,"No, because I have not had the opportunity to submit to an artifact evaluation committee.",,,,,,,,,,,,,,,,,
Academic Researcher,10 or more,Yes,As a replication package,As tools or code to accompany a paper,,"To provide extra data that doesn't fit in the paper (e.g., survey results)",,,,"Yes, an artifact was shared with some of them",Yes. I experienced these challenges:,"No, because I have not had the opportunity to submit to an artifact evaluation committee.",,,,,I have never used an artifact from a research paper other than my own.,,I have never tried and failed to use an artifact.,,,,,,,,,,No
Academic Researcher,10 or more,Yes,,,To provide a companion site,"To provide extra data that doesn't fit in the paper (e.g., survey results)",,,,"No, no artifacts were shared with my most recently published papers",No,Yes,,,,,I have never used an artifact from a research paper other than my own.,,,A lack of clear instructions for using the artifact.,A lack of clear instructions for building the artifact.,The artifact was no longer accessible.,,,,,,,No
Academic Researcher,4 to 6,Yes,As a replication package,,,"To provide extra data that doesn't fit in the paper (e.g., survey results)",To provide additional information to the reviewer(s),,,"Yes, an artifact was shared with some of them",Yes. I experienced these challenges:,"No, because I have not had the opportunity to submit to an artifact evaluation committee.",To obtain supplementary information for a research paper.,To obtain the necessary tools and/or data to replicate the findings of a research paper.,,,,,,A lack of clear instructions for using the artifact.,,The artifact was no longer accessible.,,"I couldn't run the artifact due to a missing package, library, tool, or piece of software.",,I had to modify the source code of the artifact.,,,No
Academic Researcher,4 to 6,Yes,,,To provide a companion site,"To provide extra data that doesn't fit in the paper (e.g., survey results)",To provide additional information to the reviewer(s),,,"Yes, an artifact was shared with all of them",No,,,,,,,,,,,,,,,,,,
Academic Researcher,10 or more,Yes,,As tools or code to accompany a paper,,,,,,"Yes, an artifact was shared with all of them",Yes. I experienced these challenges:,I chose not to submit to an artifact evaluation committee because:,,,To obtain benchmark data or results to compare against.,,,,,A lack of clear instructions for using the artifact.,A lack of clear instructions for building the artifact.,The artifact was no longer accessible.,"I couldn't build the artifact due to an unavailable piece of software, library, or compiler.","I couldn't run the artifact due to a missing package, library, tool, or piece of software.",I encountered a run-time error when using the artifact.,I had to modify the source code of the artifact.,I had to re-implement the artifact.,,No
Academic Researcher,4 to 6,Yes,As a replication package,As tools or code to accompany a paper,,"To provide extra data that doesn't fit in the paper (e.g., survey results)",,,,"Yes, an artifact was shared with all of them",Yes. I experienced these challenges:,Yes,,,To obtain benchmark data or results to compare against.,,,,,A lack of clear instructions for using the artifact.,A lack of clear instructions for building the artifact.,The artifact was no longer accessible.,,,,I had to modify the source code of the artifact.,I had to re-implement the artifact.,,No
Academic Researcher,10 or more,Yes,As a replication package,As tools or code to accompany a paper,To provide a companion site,,,,,"Yes, an artifact was shared with all of them",No,Yes,,,To obtain benchmark data or results to compare against.,,,,,A lack of clear instructions for using the artifact.,,,,"I couldn't run the artifact due to a missing package, library, tool, or piece of software.",I encountered a run-time error when using the artifact.,I had to modify the source code of the artifact.,,,No
Academic Researcher,10 or more,Yes,As a replication package,As tools or code to accompany a paper,,,,,,"Yes, an artifact was shared with all of them",No,I chose not to submit to an artifact evaluation committee because:,,To obtain the necessary tools and/or data to replicate the findings of a research paper.,,,,,,,,The artifact was no longer accessible.,,,,,,Other,No
Academic Researcher,10 or more,Yes,As a replication package,As tools or code to accompany a paper,To provide a companion site,"To provide extra data that doesn't fit in the paper (e.g., survey results)",To provide additional information to the reviewer(s),,,"Yes, an artifact was shared with all of them",Yes. I experienced these challenges:,I chose not to submit to an artifact evaluation committee because:,To obtain supplementary information for a research paper.,,To obtain benchmark data or results to compare against.,,,,,A lack of clear instructions for using the artifact.,,,,,,,,,Yes
Academic Researcher,10 or more,Yes,As a replication package,As tools or code to accompany a paper,To provide a companion site,"To provide extra data that doesn't fit in the paper (e.g., survey results)",To provide additional information to the reviewer(s),,,"Yes, an artifact was shared with all of them",Yes. I experienced these challenges:,Yes,,To obtain the necessary tools and/or data to replicate the findings of a research paper.,To obtain benchmark data or results to compare against.,,,,,A lack of clear instructions for using the artifact.,A lack of clear instructions for building the artifact.,The artifact was no longer accessible.,,,,I had to modify the source code of the artifact.,,,Yes
Academic Researcher,10 or more,Yes,As a replication package,As tools or code to accompany a paper,,,,,,"Yes, an artifact was shared with all of them",Yes. I experienced these challenges:,Yes,To obtain supplementary information for a research paper.,To obtain the necessary tools and/or data to replicate the findings of a research paper.,To obtain benchmark data or results to compare against.,,,,,A lack of clear instructions for using the artifact.,A lack of clear instructions for building the artifact.,The artifact was no longer accessible.,"I couldn't build the artifact due to an unavailable piece of software, library, or compiler.",,I encountered a run-time error when using the artifact.,I had to modify the source code of the artifact.,,,No
Academic Researcher,4 to 6,Yes,,As tools or code to accompany a paper,,"To provide extra data that doesn't fit in the paper (e.g., survey results)",To provide additional information to the reviewer(s),,,"Yes, an artifact was shared with some of them",Yes. I experienced these challenges:,"No, because I have not had the opportunity to submit to an artifact evaluation committee.",To obtain supplementary information for a research paper.,To obtain the necessary tools and/or data to replicate the findings of a research paper.,,,,,,A lack of clear instructions for using the artifact.,A lack of clear instructions for building the artifact.,The artifact was no longer accessible.,"I couldn't build the artifact due to an unavailable piece of software, library, or compiler.","I couldn't run the artifact due to a missing package, library, tool, or piece of software.",I encountered a run-time error when using the artifact.,I had to modify the source code of the artifact.,,,No
Academic Researcher,10 or more,Yes,As a replication package,As tools or code to accompany a paper,To provide a companion site,"To provide extra data that doesn't fit in the paper (e.g., survey results)",,,,"Yes, an artifact was shared with some of them",Yes. I experienced these challenges:,Yes,,,To obtain benchmark data or results to compare against.,For teaching purposes.,,,,,A lack of clear instructions for building the artifact.,,"I couldn't build the artifact due to an unavailable piece of software, library, or compiler.","I couldn't run the artifact due to a missing package, library, tool, or piece of software.",,,,,No
